tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2025-339,Adelaide,Hard,32,A,20250106,2,208636,,,Pedro Martinez,R,175,ESP,27.7,207608,,PR,Reilly Opelka,R,211,USA,27.3,6-4 6-2,3,R32,73,,,,,,,,,,,,,,,,,,,,47,470,293,169
2025-339,Adelaide,Hard,32,A,20250106,1,207421,8,,Ben Shelton,L,193,USA,22.4,200300,,,Rinky Hijikata,L,175,AUS,24.2,6-1 6-3,3,R32,65,,,,,,,,,,,,,,,,,,,,21,1120,171,205
2025-343,Auckland,Hard,32,A,20250106,31,106058,1,,Gael Monfils,R,193,FRA,38.8,127792,4,,Zizou Bergs,R,185,BEL,26.1,6-3 6-4,3,F,93,,,,,,,,,,,,,,,,,,,,51,435,39,530
2025-343,Auckland,Hard,32,A,20250106,30,106058,1,,Gael Monfils,R,193,FRA,38.8,207421,6,,Ben Shelton,L,193,USA,22.4,6-4 7-6(3),3,SF,108,,,,,,,,,,,,,,,,,,,,51,435,21,1120
2025-343,Auckland,Hard,32,A,20250106,29,127792,4,,Zizou Bergs,R,185,BEL,26.1,129954,2,,Felix Auger-Aliassime,R,193,CAN,24.4,6-7(4) 6-4 6-2,3,SF,125,,,,,,,,,,,,,,,,,,,,39,530,29,665
2025-343,Auckland,Hard,32,A,20250106,28,106058,1,,Gael Monfils,R,193,FRA,38.8,111577,8,,Cameron Norrie,R,185,GBR,29.3,7-5 6-2,3,QF,91,,,,,,,,,,,,,,,,,,,,51,435,49,450
2025-343,Auckland,Hard,32,A,20250106,27,207421,6,,Ben Shelton,L,193,USA,22.4,105838,7,,Alexei Popyrin,R,196,AUS,25.9,7-6(5) 6-3,3,QF,96,,,,,,,,,,,,,,,,,,,,21,1120,25,865
2025-343,Auckland,Hard,32,A,20250106,26,127792,4,,Zizou Bergs,R,185,BEL,26.1,208673,5,,Jiri Lehecka,L,192,CZE,23.1,6-4 6-3,3,QF,89,,,,,,,,,,,,,,,,,,,,39,530,24,1480
2025-343,Auckland,Hard,32,A,20250106,25,129954,2,,Felix Auger-Aliassime,R,193,CAN,24.4,102338,3,,Tommy Paul,R,185,USA,27.8,7-6(4) 6-3,3,QF,102,,,,,,,,,,,,,,,,,,,,29,665,12,1770
2025-343,Auckland,Hard,32,A,20250106,24,106058,1,,Gael Monfils,R,193,FRA,38.8,200125,,,Thanasi Kokkinakis,R,196,AUS,29.2,6-3 6-4,3,R16,84,,,,,,,,,,,,,,,,,,,,51,435,77,345
2025-343,Auckland,Hard,32,A,20250106,23,111577,8,,Cameron Norrie,R,185,GBR,29.3,106421,,,Frances Tiafoe,R,188,USA,27.1,6-3 3-6 6-1,3,R16,118,,,,,,,,,,,,,,,,,,,,49,450,17,1250
2025-343,Auckland,Hard,32,A,20250106,22,105838,7,,Alexei Popyrin,R,196,AUS,25.9,103970,,,Holger Rune,R,185,DEN,21.8,6-2 7-6(5),3,R16,105,,,,,,,,,,,,,,,,,,,,25,865,13,1620
2025-343,Auckland,Hard,32,A,20250106,21,207421,6,,Ben Shelton,L,193,USA,22.4,105260,,,Lorenzo Sonego,L,188,ITA,29.8,6-1 6-4,3,R16,78,,,,,,,,,,,,,,,,,,,,21,1120,56,415
2025-343,Auckland,Hard,32,A,20250106,20,208673,5,,Jiri Lehecka,L,192,CZE,23.1,200059,,,Christopher O'Connell,R,180,AUS,30.6,6-2 6-3,3,R16,75,,,,,,,,,,,,,,,,,,,,24,1480,64,375
2025-343,Auckland,Hard,32,A,20250106,19,127792,4,,Zizou Bergs,R,185,BEL,26.1,144895,,,David Goffin,R,180,BEL,34.6,6-4 6-2,3,R16,82,,,,,,,,,,,,,,,,,,,,39,530,53,425
2025-343,Auckland,Hard,32,A,20250106,18,102338,3,,Tommy Paul,R,185,USA,27.8,200240,,,James Duckworth,R,183,AUS,33.2,6-3 6-4,3,R16,87,,,,,,,,,,,,,,,,,,,,12,1770,69,365
2025-343,Auckland,Hard,32,A,20250106,17,129954,2,,Felix Auger-Aliassime,R,193,CAN,24.4,105138,,,Jordan Thompson,R,183,AUS,30.7,6-2 6-1,3,R16,66,,,,,,,,,,,,,,,,,,,,29,665,27,850
2025-343,Auckland,Hard,32,A,20250106,16,106058,1,,Gael Monfils,R,193,FRA,38.8,208636,,,Pedro Martinez,R,175,ESP,27.7,6-1 6-2,3,R32,63,,,,,,,,,,,,,,,,,,,,51,435,47,470
2025-343,Auckland,Hard,32,A,20250106,15,200125,,,Thanasi Kokkinakis,R,196,AUS,29.2,106299,,,Giovanni Mpetshi Perricard,R,196,FRA,21.4,6-3 7-6(4),3,R32,94,,,,,,,,,,,,,,,,,,,,77,345,30,595
2025-343,Auckland,Hard,32,A,20250106,14,111577,8,,Cameron Norrie,R,185,GBR,29.3,200644,,,Yannick Hanfmann,R,188,GER,33.8,6-4 6-2,3,R32,79,,,,,,,,,,,,,,,,,,,,49,450,91,315
2025-343,Auckland,Hard,32,A,20250106,13,106421,,,Frances Tiafoe,R,188,USA,27.1,207822,,,Sebastian Korda,R,196,USA,24.6,7-6(3) 6-3,3,R32,101,,,,,,,,,,,,,,,,,,,,17,1250,22,1075
2025-343,Auckland,Hard,32,A,20250106,12,103970,,,Holger Rune,R,185,DEN,21.8,208618,,,Jannik Sinner,R,188,ITA,23.4,6-4 6-2,3,R32,83,,,,,,,,,,,,,,,,,,,,13,1620,1,11830
2025-343,Auckland,Hard,32,A,20250106,11,105838,7,,Alexei Popyrin,R,196,AUS,25.9,104545,,,Novak Djokovic,R,188,SRB,37.7,6-4 7-6(2),3,R32,109,,,,,,,,,,,,,,,,,,,,25,865,7,2300
2025-343,Auckland,Hard,32,A,20250106,10,105260,,,Lorenzo Sonego,L,188,ITA,29.8,207989,,,Alexander Zverev,R,198,GER,27.7,6-4 6-3,3,R32,85,,,,,,,,,,,,,,,,,,,,56,415,2,7915
2025-343,Auckland,Hard,32,A,20250106,9,207421,6,,Ben Shelton,L,193,USA,22.4,200300,,,Rinky Hijikata,L,175,AUS,24.2,6-2 6-4,3,R32,71,,,,,,,,,,,,,,,,,,,,21,1120,171,205
2025-343,Auckland,Hard,32,A,20250106,8,200059,,,Christopher O'Connell,R,180,AUS,30.6,105223,,,Aleksandar Vukic,R,188,AUS,29.1,6-3 6-1,3,R32,64,,,,,,,,,,,,,,,,,,,,64,375,61,385
2025-343,Auckland,Hard,32,A,20250106,7,208673,5,,Jiri Lehecka,L,192,CZE,23.1,106233,,,Adam Walton,R,183,AUS,25.8,6-2 6-4,3,R32,76,,,,,,,,,,,,,,,,,,,,24,1480,68,365
2025-343,Auckland,Hard,32,A,20250106,6,144895,,,David Goffin,R,180,BEL,34.6,106058,,,Gael Monfils,R,193,FRA,38.8,6-4 6-1,3,R32,67,,,,,,,,,,,,,,,,,,,,53,425,51,435
2025-343,Auckland,Hard,32,A,20250106,5,127792,4,,Zizou Bergs,R,185,BEL,26.1,207608,,PR,Reilly Opelka,R,211,USA,27.3,6-3 6-4,3,R32,81,,,,,,,,,,,,,,,,,,,,39,530,293,169
2025-343,Auckland,Hard,32,A,20250106,4,200240,,,James Duckworth,R,183,AUS,33.2,126774,,,Ben Shelton,L,193,USA,22.4,6-2 7-6(3),3,R32,98,,,,,,,,,,,,,,,,,,,,69,365,21,1120
2025-343,Auckland,Hard,32,A,20250106,3,102338,3,,Tommy Paul,R,185,USA,27.8,144827,,,Matteo Arnaldi,R,185,ITA,23.6,7-6(4) 6-3,3,R32,106,,,,,,,,,,,,,,,,,,,,12,1770,36,550
2025-343,Auckland,Hard,32,A,20250106,2,105138,,,Jordan Thompson,R,183,AUS,30.7,207989,,,Alexander Zverev,R,198,GER,27.7,6-4 6-1,3,R32,74,,,,,,,,,,,,,,,,,,,,27,850,2,7915
2025-343,Auckland,Hard,32,A,20250106,1,129954,2,,Felix Auger-Aliassime,R,193,CAN,24.4,208636,,,Pedro Martinez,R,175,ESP,27.7,6-3 6-2,3,R32,69,,,,,,,,,,,,,,,,,,,,29,665,47,470
2025-580,Australian Open,Hard,128,G,20250112,127,208618,1,,Jannik Sinner,R,188,ITA,23.4,207989,2,,Alexander Zverev,R,198,GER,27.7,6-3 7-6(4) 6-3,5,F,,,,,,,,,,,,,,,,,,,,1,11830,2,7915
2025-580,Australian Open,Hard,128,G,20250112,126,208618,1,,Jannik Sinner,R,188,ITA,23.4,207421,21,,Ben Shelton,L,193,USA,22.2,7-6(3) 6-2 6-2,5,SF,,,,,,,,,,,,,,,,,,,,1,11830,21,1120
2025-580,Australian Open,Hard,128,G,20250112,125,207989,2,,Alexander Zverev,R,198,GER,27.7,104545,7,,Novak Djokovic,R,188,SRB,37.7,7-6(5) 6-0 ret,5,SF,,,,,,,,,,,,,,,,,,,,2,7915,7,2300
2025-580,Australian Open,Hard,128,G,20250112,124,208618,1,,Jannik Sinner,R,188,ITA,23.4,106421,8,,Alex de Minaur,R,180,AUS,26.2,6-3 6-2 6-1,5,QF,,,,,,,,,,,,,,,,,,,,1,11830,8,1855
2025-580,Australian Open,Hard,128,G,20250112,123,207421,21,,Ben Shelton,L,193,USA,22.2,105260,,,Lorenzo Sonego,L,188,ITA,29.8,6-4 7-5 4-6 7-6(4),5,QF,,,,,,,,,,,,,,,,,,,,21,1120,56,415
2025-580,Australian Open,Hard,128,G,20250112,122,104545,7,,Novak Djokovic,R,188,SRB,37.7,144895,3,,Carlos Alcaraz,R,185,ESP,21.8,4-6 6-4 6-3 6-4,5,QF,,,,,,,,,,,,,,,,,,,,7,2300,3,6010
2025-580,Australian Open,Hard,128,G,20250112,121,207989,2,,Alexander Zverev,R,198,GER,27.7,102338,12,,Tommy Paul,R,185,USA,27.8,7-6(1) 7-6(0) 2-6 6-1,5,QF,,,,,,,,,,,,,,,,,,,,2,7915,12,1770
2025-580,Australian Open,Hard,128,G,20250112,120,208618,1,,Jannik Sinner,R,188,ITA,23.4,103970,13,,Holger Rune,R,185,DEN,21.8,6-3 3-6 6-3 6-2,5,R16,,,,,,,,,,,,,,,,,,,,1,11830,13,1620
2025-580,Australian Open,Hard,128,G,20250112,119,106421,8,,Alex de Minaur,R,180,AUS,26.2,105838,25,,Alexei Popyrin,R,196,AUS,25.9,6-3 6-4 6-2,5,R16,,,,,,,,,,,,,,,,,,,,8,1855,25,865
2025-580,Australian Open,Hard,128,G,20250112,118,207421,21,,Ben Shelton,L,193,USA,22.2,106058,,,Gaël Monfils,R,193,FRA,38.8,6-3 7-6(1) 6-2,5,R16,,,,,,,,,,,,,,,,,,,,21,1120,51,435
2025-580,Australian Open,Hard,128,G,20250112,117,105260,,,Lorenzo Sonego,L,188,ITA,29.8,208673,24,,Jiří Lehečka,L,192,CZE,23.1,6-3 7-6(2) 6-2,5,R16,,,,,,,,,,,,,,,,,,,,56,415,24,1480
2025-580,Australian Open,Hard,128,G,20250112,116,144895,3,,Carlos Alcaraz,R,185,ESP,21.8,144827,16,,Lorenzo Musetti,R,185,ITA,22.8,6-3 6-3 6-1,5,R16,,,,,,,,,,,,,,,,,,,,3,6010,16,1355
2025-580,Australian Open,Hard,128,G,20250112,115,104545,7,,Novak Djokovic,R,188,SRB,37.7,208618,15,,Jack Draper,L,193,GBR,23.3,6-1 6-2 6-2,5,R16,,,,,,,,,,,,,,,,,,,,7,2300,15,1425
2025-580,Australian Open,Hard,128,G,20250112,114,102338,12,,Tommy Paul,R,185,USA,27.8,208636,,,Alejandro Davidovich Fokina,R,183,ESP,25.8,6-1 6-1 6-1,5,R16,,,,,,,,,,,,,,,,,,,,12,1770,39,530
2025-580,Australian Open,Hard,128,G,20250112,113,207989,2,,Alexander Zverev,R,198,GER,27.7,105138,27,,Jordan Thompson,R,183,AUS,30.7,7-6(3) 6-0 6-4,5,R16,,,,,,,,,,,,,,,,,,,,2,7915,27,850
